time,loop,owner,process,pid,cpu_percent,private_mb,working_set_mb,threads,handles,priority,responding,action
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","runtimebroker",17760,0,2.52,13.59,4,231,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","runtimebroker",17996,0,2.53,13.61,4,232,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","runtimebroker",18140,0,2.53,13.71,4,232,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","rtkauduservice64",7324,0,2.3,11.01,9,285,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","rtkauduservice64",17676,0,2.29,10.98,9,285,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","rtkauduservice64",17644,0,2.3,10.76,10,284,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","rtkauduservice64",2224,0,2.22,10.75,9,284,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","runtimebroker",8724,0,2.63,16.59,5,205,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","runtimebroker",12508,0,2.75,16.66,6,205,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","runtimebroker",14764,0,2.68,16.65,5,205,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","runtimebroker",16508,0,2.68,16.65,5,205,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Mati","powershell",17964,0.36,79.16,94.51,28,640,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Mati","taskmgr",12544,0.13,34.3,52.75,22,640,"AboveNormal","True",""
2026-04-29T01:09:24.7202383+02:00,4,"NT AUTHORITY\SYSTEM","rustdesk",3668,0,4.45,15.31,5,207,"AboveNormal","True",""
2026-04-29T01:09:24.7202383+02:00,4,"NT AUTHORITY\SYSTEM","tailscaled",4272,0,56.48,25.68,24,467,"AboveNormal","True",""
